Customer,Step_0,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39
161,entrance,spices,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,entrance,fruit,fruit,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,entrance,spices,spices,spices,drinks,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,entrance,fruit,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,entrance,spices,dairy,dairy,fruit,fruit,fruit,fruit,drinks,drinks,drinks,drinks,drinks,drinks,spices,fruit,fruit,fruit,fruit,drinks,drinks,spices,checkout,,,,,,,,,,,,,,,,,
166,entrance,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,entrance,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,entrance,drinks,spices,dairy,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,entrance,spices,drinks,drinks,drinks,drinks,drinks,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,entrance,spices,spices,spices,drinks,fruit,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,entrance,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,entrance,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,entrance,dairy,dairy,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,entrance,fruit,dairy,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,entrance,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,entrance,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,entrance,spices,drinks,drinks,fruit,dairy,dairy,drinks,drinks,drinks,fruit,fruit,dairy,dairy,drinks,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,
178,entrance,spices,spices,spices,spices,spices,drinks,drinks,drinks,spices,drinks,fruit,fruit,fruit,fruit,fruit,dairy,dairy,dairy,dairy,dairy,dairy,fruit,fruit,dairy,dairy,fruit,fruit,checkout,,,,,,,,,,,
179,entrance,spices,spices,fruit,spices,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,entrance,spices,spices,spices,spices,dairy,dairy,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,entrance,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,entrance,spices,drinks,spices,dairy,fruit,fruit,dairy,dairy,dairy,fruit,fruit,fruit,dairy,dairy,drinks,drinks,fruit,checkout,,,,,,,,,,,,,,,,,,,,,
183,entrance,fruit,spices,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,entrance,dairy,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,entrance,drinks,drinks,drinks,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,entrance,spices,spices,drinks,drinks,drinks,drinks,drinks,fruit,spices,spices,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,entrance,spices,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,entrance,drinks,drinks,spices,spices,spices,spices,spices,spices,dairy,fruit,drinks,drinks,drinks,drinks,drinks,fruit,spices,spices,spices,drinks,spices,spices,spices,dairy,dairy,dairy,dairy,dairy,fruit,dairy,dairy,dairy,dairy,spices,dairy,dairy,dairy,dairy,checkout
189,entrance,spices,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,entrance,fruit,fruit,dairy,dairy,dairy,fruit,spices,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,entrance,spices,drinks,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,entrance,fruit,fruit,spices,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,entrance,spices,spices,spices,spices,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,entrance,spices,spices,spices,spices,drinks,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,entrance,fruit,fruit,checkout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,entrance,spices,dairy,dairy,dairy,dairy,spices,spices,drinks,drinks,drinks,drinks,fruit,fruit,drinks,drinks,drinks,drinks,spices,checkout,,,,,,,,,,,,,,,,,,,,
197,entrance,fruit,dairy,dairy,dairy,fruit,dairy,spices,spices,dairy,fruit,fruit,dairy,spices,spices,dairy,dairy,checkout,,,,,,,,,,,,,,,,,,,,,,
